group_id,source_path,target_path,repo,reason,risk,coupling_class,imports_count,imported_by_count,external_importers_count,external_imports_count,runtime_critical,import_rewrite
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/auth.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/config.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/governance-guard.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/guardian/summary-worker.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/index.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,5,0,0,5,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/logger.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/mediasoup/room.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,4,0,0,4,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/mediasoup/worker.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/server.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,8,0,0,8,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/signaling/handler.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,6,0,0,6,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/tsconfig.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/App.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,1,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/components/AgentFleet.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/components/AgentHub.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/components/CallModeUI.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
